Order_ID,Date,Region,State,Category,Product,Quantity,Sales,Profit
ORD-2024-00415,2024-01-14,North America,Florida,Office Supplies,Notebook,9,799.17,-265.06
ORD-2024-00478,2024-01-14,Asia Pacific,Tokyo,Appliances,Coffee Maker,8,1176.84,185.34
ORD-2024-00233,2024-01-15,North America,Florida,Office Supplies,Printer Paper,11,869.9,306.65
ORD-2024-00540,2024-01-16,North America,California,Technology,Tablet,11,16837.35,2855.62
ORD-2024-00300,2024-01-16,North America,Texas,Technology,Smartphone,7,4747.11,1152.6
ORD-2024-00369,2024-01-17,Europe,England,Furniture,Desk,10,3360.96,574.88
ORD-2024-00170,2024-01-17,Europe,Ile-de-France,Office Supplies,Notebook,4,228.64,86.2
ORD-2024-00272,2024-01-17,Asia Pacific,Tokyo,Furniture,Office Chair,5,2182.38,418.3
ORD-2025-01167,2024-01-17,Asia Pacific,Maharashtra,Office Supplies,Notebook,11,112.91,31.77
ORD-2025-00821,2024-01-18,North America,New York,Office Supplies,Notebook,7,355.61,120.82
ORD-2024-00429,2024-01-19,Asia Pacific,Seoul,Furniture,Office Chair,3,1268.16,162.9
ORD-2025-01180,2024-01-19,North America,New York,Office Supplies,Notebook,4,259.5,59.55
ORD-2024-00454,2024-01-19,Europe,Bavaria,Technology,Monitor,8,7324.3,1161.31
ORD-2025-00830,2024-01-22,North America,California,Appliances,Air Purifier,8,4609.64,393.41
ORD-2024-00138,2024-01-23,North America,California,Furniture,Bookshelf,6,4549.23,-775.48
ORD-2025-00787,2024-01-24,North America,Florida,Furniture,Bookshelf,3,1714.44,192.56
ORD-2024-00385,2024-01-24,Europe,Bavaria,Office Supplies,Stapler,10,838.03,264.21
ORD-2025-00663,2024-01-26,North America,Florida,Technology,Monitor,9,13226.53,1626.86
ORD-2024-00147,2024-01-26,Europe,Catalonia,Office Supplies,Printer Paper,5,439.85,165.75
ORD-2025-00844,2024-01-27,Europe,Bavaria,Technology,Smartphone,2,1586.49,-268.81
ORD-2025-00970,2024-01-27,Asia Pacific,New South Wales,Office Supplies,Desk Organizer,1,11.71,2.3
ORD-2024-00117,2024-01-28,Middle East & Africa,Nairobi,Technology,Laptop,7,7584.08,-1439.96
ORD-2024-00328,2024-01-28,Latin America,Santiago,Furniture,Cabinet,6,3241.77,306.32
ORD-2025-00870,2024-01-30,North America,New York,Office Supplies,Stapler,5,43.56,15.41
ORD-2025-00902,2024-01-31,North America,New York,Office Supplies,Pen Set,6,558.52,192.51
ORD-2025-01099,2024-01-31,North America,New York,Office Supplies,Stapler,11,850.59,176.48
ORD-2025-01019,2024-01-31,North America,Ontario,Furniture,Cabinet,7,2551.2,-544.11
ORD-2024-00250,2024-01-31,Asia Pacific,New South Wales,Technology,Monitor,5,7814.37,1587.57
ORD-2025-00817,2024-02-01,Europe,England,Furniture,Desk,1,417.67,27.37
ORD-2024-00562,2024-02-01,Europe,Ile-de-France,Furniture,Office Chair,6,3676.12,773.82
ORD-2025-01110,2024-02-02,Latin America,Mexico City,Office Supplies,Pen Set,5,403.82,100.51
ORD-2024-00397,2024-02-02,Asia Pacific,Seoul,Technology,Laptop,10,8200.23,2060.04
ORD-2024-00056,2024-02-02,Middle East & Africa,Nairobi,Technology,Tablet,2,2680.39,338.91
ORD-2025-00811,2024-02-02,North America,Texas,Appliances,Microwave,8,2614.44,580.49
ORD-2024-00352,2024-02-02,North America,Florida,Technology,Laptop,2,3177.79,561.94
ORD-2024-00574,2024-02-06,Latin America,Buenos Aires,Office Supplies,Stapler,6,218.06,77.56
ORD-2025-00699,2024-02-06,North America,Ontario,Furniture,Cabinet,10,2542.4,287.93
ORD-2024-00584,2024-02-07,Latin America,Sao Paulo,Furniture,Bookshelf,5,2184.56,414.85
ORD-2025-00848,2024-02-07,Asia Pacific,Singapore,Office Supplies,Printer Paper,6,228.63,57.83
ORD-2025-00887,2024-02-08,Middle East & Africa,Dubai,Technology,Wireless Router,10,11908.76,2408.31
ORD-2025-00898,2024-02-09,North America,Ontario,Furniture,Bookshelf,3,2245.93,371.2
ORD-2024-00546,2024-02-09,Latin America,Bogota,Office Supplies,Printer Paper,6,205.39,72.07
ORD-2024-00542,2024-02-10,Asia Pacific,Maharashtra,Technology,Smartphone,8,12614.37,1681.41
ORD-2025-01026,2024-02-10,Europe,Ile-de-France,Technology,Wireless Router,9,14570.58,1768.53
ORD-2025-01021,2024-02-10,Europe,England,Office Supplies,Printer Paper,7,538.14,179.4
ORD-2025-00858,2024-02-11,Asia Pacific,New South Wales,Appliances,Vacuum Cleaner,1,190.54,19.02
ORD-2024-00150,2024-02-12,Asia Pacific,Seoul,Office Supplies,Desk Organizer,1,31.53,9.23
ORD-2025-01136,2024-02-12,Europe,Lombardy,Furniture,Bookshelf,10,2286.06,363.43
ORD-2025-00619,2024-02-14,Asia Pacific,Singapore,Technology,Laptop,8,8697.59,1451.83
ORD-2024-00036,2024-02-16,Asia Pacific,Tokyo,Technology,Monitor,10,15793.09,2147.51
ORD-2024-00279,2024-02-17,Asia Pacific,Tokyo,Office Supplies,Notebook,2,129.69,33.23
ORD-2025-01035,2024-02-18,Latin America,Sao Paulo,Technology,Monitor,5,3003.2,793.33
ORD-2024-00518,2024-02-18,Latin America,Sao Paulo,Appliances,Microwave,6,2588.07,307.04
ORD-2024-00045,2024-02-19,North America,Ontario,Furniture,Desk,2,1307.34,275.39
ORD-2024-00387,2024-02-19,Latin America,Buenos Aires,Office Supplies,Stapler,4,385.52,113.38
ORD-2025-00899,2024-02-21,Middle East & Africa,Dubai,Furniture,Conference Table,1,778.71,82.24
ORD-2025-01022,2024-02-22,Asia Pacific,Seoul,Furniture,Bookshelf,5,906.46,190.67
ORD-2025-00659,2024-02-22,Asia Pacific,New South Wales,Furniture,Desk,6,721.6,106.75
ORD-2024-00069,2024-02-25,North America,California,Furniture,Bookshelf,10,7862.32,645.34
ORD-2025-01055,2024-02-26,North America,Texas,Technology,Tablet,3,4420.72,904.52
ORD-2025-01027,2024-02-26,Europe,Lombardy,Technology,Monitor,11,9709.19,1775.79
ORD-2024-00217,2024-02-27,Europe,Catalonia,Furniture,Bookshelf,4,2988.77,516.59
ORD-2024-00127,2024-02-27,Europe,Catalonia,Office Supplies,Notebook,2,69.07,18.49
ORD-2025-01096,2024-02-28,Middle East & Africa,Riyadh,Appliances,Air Purifier,4,2231.63,455.54
ORD-2024-00439,2024-02-29,North America,New York,Office Supplies,Desk Organizer,10,327.75,102.48
ORD-2024-00280,2024-03-01,Middle East & Africa,Gauteng,Appliances,Coffee Maker,2,967.3,138.25
ORD-2025-01122,2024-03-02,Asia Pacific,Maharashtra,Technology,Monitor,5,6777.15,-1137.73
ORD-2025-00678,2024-03-02,Asia Pacific,New South Wales,Technology,Wireless Router,10,8589.73,1833.46
ORD-2024-00246,2024-03-02,Europe,Bavaria,Office Supplies,Notebook,11,258.26,74.35
ORD-2024-00431,2024-03-02,Europe,Bavaria,Technology,Smartphone,9,10904.21,2391.81
ORD-2024-00007,2024-03-03,Latin America,Mexico City,Furniture,Office Chair,3,398.44,81.0
ORD-2025-00881,2024-03-03,Europe,Bavaria,Technology,Smartphone,6,7066.71,1462.83
ORD-2025-00753,2024-03-04,Asia Pacific,Maharashtra,Technology,Laptop,2,1203.66,-325.0
ORD-2025-00728,2024-03-05,North America,Texas,Technology,Smartphone,1,598.6,149.24
ORD-2024-00196,2024-03-05,North America,California,Furniture,Office Chair,11,5611.2,569.05
ORD-2024-00001,2024-03-06,Europe,Lombardy,Appliances,Mini Fridge,6,3675.45,803.78
ORD-2024-00172,2024-03-06,Asia Pacific,New South Wales,Technology,Tablet,4,2244.9,574.88
ORD-2025-00695,2024-03-06,Asia Pacific,Seoul,Office Supplies,Stapler,5,435.77,84.95
ORD-2024-00133,2024-03-07,North America,Florida,Appliances,Coffee Maker,9,4807.87,532.27
ORD-2025-00826,2024-03-07,Asia Pacific,Maharashtra,Office Supplies,Notebook,5,215.49,63.86
ORD-2024-00359,2024-03-07,Asia Pacific,Maharashtra,Furniture,Conference Table,1,422.46,74.05
ORD-2024-00033,2024-03-08,North America,California,Furniture,Conference Table,5,954.08,117.54
ORD-2025-00910,2024-03-08,Europe,Ile-de-France,Technology,Laptop,2,1310.64,261.37
ORD-2025-00951,2024-03-09,Europe,Lombardy,Technology,Laptop,11,6909.28,1313.49
ORD-2024-00581,2024-03-09,North America,Texas,Technology,Monitor,10,6881.26,1771.15
ORD-2024-00010,2024-03-09,North America,California,Furniture,Bookshelf,2,1136.47,195.63
ORD-2024-00243,2024-03-10,North America,Texas,Furniture,Desk,2,1515.07,138.9
ORD-2025-00700,2024-03-10,Asia Pacific,New South Wales,Furniture,Office Chair,10,7742.37,588.55
ORD-2025-00674,2024-03-10,Europe,Bavaria,Technology,Wireless Router,10,9990.23,1774.88
ORD-2025-00977,2024-03-10,Asia Pacific,Singapore,Office Supplies,Notebook,11,1020.41,221.43
ORD-2024-00376,2024-03-10,North America,New York,Technology,Monitor,3,3762.34,485.98
ORD-2025-00791,2024-03-10,Middle East & Africa,Dubai,Technology,Smartphone,1,513.83,143.25
ORD-2024-00218,2024-03-11,North America,California,Office Supplies,Printer Paper,4,290.24,107.38
ORD-2024-00087,2024-03-12,North America,Ontario,Technology,Monitor,9,13687.83,1877.76
ORD-2024-00588,2024-03-13,North America,Texas,Technology,Monitor,5,7161.43,1663.61
ORD-2025-00891,2024-03-14,Asia Pacific,Maharashtra,Office Supplies,Notebook,6,526.72,103.86
ORD-2024-00580,2024-03-15,Middle East & Africa,Nairobi,Furniture,Bookshelf,9,5121.3,844.48
ORD-2024-00258,2024-03-16,Latin America,Bogota,Office Supplies,Pen Set,7,536.45,-98.33
ORD-2024-00516,2024-03-17,Middle East & Africa,Dubai,Technology,Wireless Router,2,1291.74,360.01
ORD-2025-01166,2024-03-17,Asia Pacific,Singapore,Technology,Laptop,1,446.74,67.92
ORD-2025-00818,2024-03-18,Asia Pacific,Maharashtra,Furniture,Conference Table,9,4804.05,900.14
ORD-2024-00460,2024-03-18,Middle East & Africa,Gauteng,Furniture,Bookshelf,3,843.5,100.1
ORD-2024-00171,2024-03-18,Latin America,Santiago,Technology,Smartphone,8,9083.39,2015.31
ORD-2024-00583,2024-03-19,North America,California,Technology,Smartphone,7,8616.52,1131.59
ORD-2024-00322,2024-03-19,North America,Florida,Office Supplies,Notebook,4,418.12,133.65
ORD-2024-00480,2024-03-20,Latin America,Sao Paulo,Technology,Wireless Router,6,3601.02,532.95
ORD-2024-00310,2024-03-20,North America,Florida,Office Supplies,Stapler,11,87.43,27.53
ORD-2025-00808,2024-03-21,Europe,Lombardy,Furniture,Cabinet,5,2924.61,544.23
ORD-2025-00873,2024-03-24,Europe,Bavaria,Office Supplies,Stapler,5,499.99,123.93
ORD-2024-00501,2024-03-24,North America,Ontario,Office Supplies,Printer Paper,7,727.73,269.58
ORD-2024-00120,2024-03-24,Latin America,Santiago,Furniture,Bookshelf,8,6023.83,696.52
ORD-2024-00538,2024-03-25,North America,Ontario,Technology,Smartphone,4,3873.96,633.02
ORD-2024-00365,2024-03-25,Middle East & Africa,Cairo,Technology,Smartphone,1,871.47,177.73
ORD-2025-01020,2024-03-25,Europe,Catalonia,Appliances,Air Purifier,2,298.93,42.63
ORD-2025-00726,2024-03-26,North America,California,Furniture,Bookshelf,5,605.37,132.86
ORD-2024-00198,2024-03-27,Europe,Lombardy,Technology,Tablet,5,3462.97,516.02
ORD-2024-00313,2024-03-27,Middle East & Africa,Riyadh,Office Supplies,Notebook,11,406.86,99.63
ORD-2025-00778,2024-03-27,Europe,Catalonia,Technology,Wireless Router,5,4671.72,1245.79
ORD-2024-00497,2024-03-27,Latin America,Santiago,Furniture,Bookshelf,8,2098.18,145.63
ORD-2025-00724,2024-03-28,Latin America,Bogota,Office Supplies,Printer Paper,10,223.4,81.49
ORD-2025-00946,2024-03-28,Europe,Lombardy,Technology,Laptop,1,949.55,148.1
ORD-2025-01050,2024-03-28,Europe,Lombardy,Technology,Smartphone,5,7126.11,884.28
ORD-2025-00863,2024-03-28,Latin America,Santiago,Appliances,Mini Fridge,4,1856.13,212.95
ORD-2025-01157,2024-03-28,North America,Florida,Appliances,Mini Fridge,2,748.16,162.32
ORD-2024-00418,2024-03-30,Asia Pacific,New South Wales,Office Supplies,Pen Set,11,1143.62,338.32
ORD-2025-00784,2024-03-30,Asia Pacific,Seoul,Technology,Laptop,1,1412.01,225.2
ORD-2025-00783,2024-03-30,Latin America,Buenos Aires,Office Supplies,Notebook,7,682.34,-205.69
ORD-2024-00386,2024-03-30,North America,New York,Furniture,Desk,7,838.78,132.2
ORD-2024-00436,2024-03-31,Europe,Catalonia,Appliances,Microwave,4,1462.41,262.09
ORD-2025-00874,2024-04-01,Asia Pacific,Maharashtra,Furniture,Desk,7,4851.05,740.12
ORD-2024-00157,2024-04-02,Asia Pacific,Maharashtra,Office Supplies,Stapler,5,374.74,120.87
ORD-2025-00759,2024-04-03,Asia Pacific,Singapore,Appliances,Microwave,3,1703.92,389.46
ORD-2025-01005,2024-04-03,Asia Pacific,Seoul,Office Supplies,Desk Organizer,3,103.1,29.98
ORD-2024-00018,2024-04-03,Europe,Lombardy,Furniture,Conference Table,4,570.87,69.37
ORD-2024-00221,2024-04-03,Europe,Lombardy,Technology,Monitor,4,6614.95,1756.72
ORD-2025-00945,2024-04-04,Middle East & Africa,Nairobi,Furniture,Conference Table,6,814.89,113.73
ORD-2024-00074,2024-04-04,Europe,Lombardy,Appliances,Air Purifier,2,1036.08,108.34
ORD-2025-00705,2024-04-04,Europe,Bavaria,Office Supplies,Notebook,8,447.19,103.8
ORD-2024-00434,2024-04-05,North America,Florida,Technology,Tablet,5,3811.04,695.72
ORD-2025-00670,2024-04-06,Asia Pacific,Singapore,Technology,Monitor,5,4167.2,909.83
ORD-2024-00443,2024-04-06,Europe,Ile-de-France,Furniture,Bookshelf,5,2065.06,410.32
ORD-2024-00414,2024-04-06,North America,New York,Furniture,Conference Table,10,2945.05,499.15
ORD-2025-00604,2024-04-08,Asia Pacific,Maharashtra,Furniture,Bookshelf,1,419.13,-86.62
ORD-2025-00948,2024-04-08,Asia Pacific,Maharashtra,Furniture,Conference Table,6,1465.89,175.44
ORD-2025-00823,2024-04-09,Asia Pacific,Maharashtra,Furniture,Cabinet,6,2354.46,360.89
ORD-2025-00682,2024-04-10,North America,Florida,Furniture,Bookshelf,9,4934.36,837.69
ORD-2025-00721,2024-04-11,Europe,England,Furniture,Office Chair,7,1102.28,181.72
ORD-2024-00462,2024-04-12,Europe,Ile-de-France,Office Supplies,Pen Set,11,858.83,255.27
ORD-2024-00118,2024-04-12,Europe,Ile-de-France,Furniture,Cabinet,5,818.58,78.97
ORD-2025-00769,2024-04-12,Europe,England,Furniture,Conference Table,5,3683.01,475.89
ORD-2024-00306,2024-04-12,North America,Texas,Technology,Laptop,2,3386.6,-737.08
ORD-2024-00241,2024-04-12,Asia Pacific,Tokyo,Office Supplies,Stapler,6,536.23,156.14
ORD-2024-00100,2024-04-12,Asia Pacific,Seoul,Appliances,Mini Fridge,7,2085.14,306.14
ORD-2025-00620,2024-04-12,North America,New York,Furniture,Cabinet,8,3742.01,286.15
ORD-2024-00329,2024-04-13,Asia Pacific,Seoul,Technology,Tablet,2,1782.65,330.77
ORD-2025-01090,2024-04-13,Asia Pacific,Singapore,Technology,Wireless Router,2,3379.66,812.45
ORD-2025-01187,2024-04-14,North America,Florida,Technology,Laptop,9,6381.96,1415.8
ORD-2025-00834,2024-04-14,North America,Texas,Appliances,Air Purifier,11,3093.91,449.37
ORD-2025-01063,2024-04-15,Europe,Catalonia,Furniture,Cabinet,10,7063.37,1490.31
ORD-2024-00528,2024-04-15,Asia Pacific,Singapore,Technology,Laptop,9,12958.75,1605.81
ORD-2024-00256,2024-04-15,North America,New York,Technology,Smartphone,10,5868.46,1219.34
ORD-2024-00408,2024-04-15,North America,Texas,Technology,Wireless Router,1,617.57,161.01
ORD-2024-00522,2024-04-16,Asia Pacific,New South Wales,Technology,Monitor,7,7905.63,1103.01
ORD-2025-00924,2024-04-16,North America,Texas,Technology,Laptop,3,4387.27,795.28
ORD-2025-00938,2024-04-18,North America,California,Office Supplies,Pen Set,6,512.67,151.44
ORD-2025-00752,2024-04-18,North America,New York,Technology,Laptop,1,977.54,248.4
ORD-2025-00975,2024-04-18,North America,Texas,Office Supplies,Stapler,1,48.47,10.09
ORD-2024-00457,2024-04-18,North America,Ontario,Technology,Laptop,5,7577.55,1699.75
ORD-2024-00357,2024-04-20,Middle East & Africa,Gauteng,Office Supplies,Pen Set,8,679.87,188.12
ORD-2025-01104,2024-04-20,Latin America,Mexico City,Technology,Wireless Router,4,6306.84,930.38
ORD-2024-00273,2024-04-20,Asia Pacific,Seoul,Furniture,Conference Table,4,1368.36,241.8
ORD-2024-00182,2024-04-21,Latin America,Santiago,Furniture,Cabinet,7,2957.99,250.17
ORD-2024-00058,2024-04-22,Asia Pacific,New South Wales,Furniture,Cabinet,7,4488.93,920.83
ORD-2025-01046,2024-04-22,Middle East & Africa,Nairobi,Technology,Monitor,9,7155.43,1331.2
ORD-2024-00390,2024-04-22,Europe,Lombardy,Office Supplies,Pen Set,6,563.99,144.49
ORD-2024-00536,2024-04-22,Europe,England,Technology,Tablet,4,2397.48,459.01
ORD-2025-00961,2024-04-22,North America,Florida,Technology,Wireless Router,8,5780.2,1415.95
ORD-2025-00884,2024-04-23,North America,Texas,Office Supplies,Stapler,2,20.22,-4.42
ORD-2024-00533,2024-04-23,North America,Ontario,Office Supplies,Pen Set,1,31.59,8.43
ORD-2025-00847,2024-04-24,Latin America,Santiago,Office Supplies,Stapler,11,1127.39,420.98
ORD-2025-00750,2024-04-25,North America,New York,Furniture,Bookshelf,5,1367.04,113.94
ORD-2025-00937,2024-04-25,Europe,Bavaria,Technology,Monitor,8,7188.09,1952.51
ORD-2024-00287,2024-04-27,Latin America,Sao Paulo,Technology,Smartphone,9,4036.47,951.97
ORD-2024-00083,2024-04-27,Europe,England,Furniture,Desk,8,1207.83,113.49
ORD-2024-00178,2024-04-27,North America,Texas,Furniture,Bookshelf,8,4641.1,880.34
ORD-2025-01076,2024-04-29,Middle East & Africa,Cairo,Technology,Tablet,8,8215.59,1770.57
ORD-2024-00041,2024-04-30,Europe,Ile-de-France,Technology,Smartphone,1,1672.33,333.26
ORD-2025-00623,2024-04-30,North America,Florida,Appliances,Air Purifier,2,715.29,157.39
ORD-2024-00350,2024-04-30,North America,New York,Technology,Wireless Router,4,6005.94,1389.1
ORD-2024-00532,2024-05-01,Middle East & Africa,Cairo,Office Supplies,Pen Set,9,575.71,177.75
ORD-2024-00467,2024-05-01,Europe,Bavaria,Office Supplies,Pen Set,4,400.51,124.86
ORD-2025-01078,2024-05-01,Latin America,Sao Paulo,Office Supplies,Printer Paper,2,148.17,52.32
ORD-2024-00187,2024-05-01,Asia Pacific,Maharashtra,Technology,Smartphone,1,1130.35,-216.37
ORD-2025-00703,2024-05-02,Europe,Bavaria,Office Supplies,Desk Organizer,2,57.11,13.59
ORD-2024-00168,2024-05-02,Asia Pacific,New South Wales,Office Supplies,Notebook,11,332.76,76.56
ORD-2025-00685,2024-05-03,North America,New York,Office Supplies,Desk Organizer,9,227.84,68.93
ORD-2024-00262,2024-05-04,Europe,Lombardy,Technology,Wireless Router,7,9269.48,1878.48
ORD-2025-01193,2024-05-04,Middle East & Africa,Riyadh,Furniture,Cabinet,6,3211.57,539.27
ORD-2025-00704,2024-05-05,North America,California,Technology,Laptop,6,6866.74,1606.81
ORD-2025-01032,2024-05-06,Asia Pacific,Seoul,Technology,Smartphone,8,11202.57,2061.75
ORD-2025-00908,2024-05-06,Europe,Lombardy,Furniture,Cabinet,1,824.11,127.13
ORD-2024-00411,2024-05-07,Latin America,Buenos Aires,Furniture,Desk,4,626.07,54.69
ORD-2024-00544,2024-05-07,North America,Ontario,Office Supplies,Stapler,2,36.68,7.17
ORD-2024-00259,2024-05-08,Asia Pacific,Maharashtra,Technology,Monitor,4,4283.34,813.48
ORD-2025-00761,2024-05-08,North America,Ontario,Furniture,Bookshelf,7,4261.83,728.33
ORD-2024-00230,2024-05-09,Europe,England,Appliances,Vacuum Cleaner,1,109.72,10.19
ORD-2025-00661,2024-05-09,North America,Ontario,Technology,Laptop,7,9270.15,1561.47
ORD-2025-01174,2024-05-09,Latin America,Buenos Aires,Office Supplies,Printer Paper,8,619.88,169.09
ORD-2024-00392,2024-05-11,North America,Ontario,Office Supplies,Notebook,9,287.34,60.6
ORD-2024-00251,2024-05-11,North America,Florida,Technology,Laptop,2,3244.37,511.23
ORD-2025-01106,2024-05-12,Latin America,Sao Paulo,Technology,Smartphone,9,12256.65,1950.73
ORD-2024-00564,2024-05-12,Asia Pacific,New South Wales,Furniture,Desk,5,1206.54,224.28
ORD-2024-00349,2024-05-12,Europe,England,Office Supplies,Stapler,11,260.29,65.32
ORD-2024-00469,2024-05-12,Europe,Catalonia,Office Supplies,Desk Organizer,7,600.19,178.8
ORD-2024-00023,2024-05-13,North America,Ontario,Technology,Laptop,2,2340.12,493.94
ORD-2025-00635,2024-05-13,Middle East & Africa,Nairobi,Furniture,Bookshelf,8,5812.14,420.58
ORD-2025-00912,2024-05-14,North America,New York,Technology,Tablet,5,2634.28,410.42
ORD-2024-00253,2024-05-17,Middle East & Africa,Dubai,Technology,Tablet,11,17036.12,3549.65
ORD-2024-00072,2024-05-18,Asia Pacific,Singapore,Appliances,Air Purifier,4,1276.88,112.66
ORD-2025-01178,2024-05-20,Asia Pacific,Tokyo,Office Supplies,Notebook,6,177.26,48.02
ORD-2025-01113,2024-05-20,North America,California,Technology,Laptop,3,4367.3,561.31
ORD-2024-00523,2024-05-20,Europe,Catalonia,Technology,Tablet,7,4867.25,906.32
ORD-2025-00888,2024-05-21,Asia Pacific,Singapore,Furniture,Conference Table,1,464.49,80.76
ORD-2024-00052,2024-05-22,Europe,Ile-de-France,Technology,Wireless Router,11,8877.49,1551.65
ORD-2025-01115,2024-05-22,Europe,Bavaria,Office Supplies,Stapler,7,491.8,125.43
ORD-2024-00543,2024-05-22,Europe,Catalonia,Technology,Wireless Router,5,3683.23,622.6
ORD-2025-00993,2024-05-23,North America,California,Office Supplies,Pen Set,10,1016.35,-328.33
ORD-2024-00398,2024-05-23,Asia Pacific,New South Wales,Technology,Laptop,9,12691.41,2990.05
ORD-2025-00838,2024-05-24,Asia Pacific,Tokyo,Technology,Wireless Router,1,1234.29,306.46
ORD-2024-00102,2024-05-26,Asia Pacific,Tokyo,Technology,Monitor,8,7317.85,925.09
ORD-2024-00426,2024-05-26,Europe,Bavaria,Office Supplies,Printer Paper,3,117.52,24.76
ORD-2025-01085,2024-05-26,North America,California,Technology,Tablet,9,12162.09,2505.34
ORD-2025-00653,2024-05-27,Europe,Lombardy,Technology,Monitor,10,14666.36,4022.86
ORD-2024-00009,2024-05-27,North America,New York,Technology,Wireless Router,8,7045.71,-1755.71
ORD-2025-00872,2024-05-27,Europe,Lombardy,Technology,Tablet,8,4601.8,1075.99
ORD-2024-00224,2024-05-27,Latin America,Bogota,Appliances,Coffee Maker,1,359.69,78.29
ORD-2025-00664,2024-05-27,Latin America,Sao Paulo,Technology,Laptop,2,3414.24,874.42
ORD-2024-00339,2024-05-28,Asia Pacific,New South Wales,Technology,Wireless Router,1,878.21,-129.7
ORD-2025-00735,2024-06-01,Middle East & Africa,Gauteng,Technology,Wireless Router,1,1122.01,203.34
ORD-2025-01072,2024-06-01,Asia Pacific,New South Wales,Technology,Laptop,6,4457.95,918.04
ORD-2024-00142,2024-06-05,Europe,England,Technology,Laptop,2,2557.57,393.23
ORD-2025-00964,2024-06-08,North America,Ontario,Appliances,Mini Fridge,3,1428.4,298.1
ORD-2025-00903,2024-06-09,North America,Ontario,Office Supplies,Printer Paper,5,511.24,177.95
ORD-2024-00363,2024-06-12,North America,California,Technology,Monitor,2,1534.07,290.62
ORD-2025-00976,2024-06-13,Latin America,Mexico City,Appliances,Mini Fridge,11,5695.94,1303.02
ORD-2024-00078,2024-06-14,North America,Florida,Technology,Monitor,9,4892.08,725.04
ORD-2024-00567,2024-06-15,Europe,Ile-de-France,Office Supplies,Printer Paper,5,428.81,139.91
ORD-2024-00032,2024-06-15,Asia Pacific,Seoul,Office Supplies,Stapler,7,649.31,171.32
ORD-2024-00412,2024-06-16,Europe,Bavaria,Technology,Monitor,2,1829.1,399.52
ORD-2024-00326,2024-06-17,North America,Texas,Office Supplies,Desk Organizer,5,541.85,146.02
ORD-2025-00626,2024-06-19,Europe,Bavaria,Furniture,Conference Table,4,1847.91,308.43
ORD-2025-01112,2024-06-19,Middle East & Africa,Gauteng,Office Supplies,Pen Set,11,314.37,84.08
ORD-2024-00486,2024-06-19,Europe,Catalonia,Office Supplies,Stapler,9,849.76,239.43
ORD-2024-00148,2024-06-20,Asia Pacific,Seoul,Furniture,Office Chair,11,1975.04,395.18
ORD-2025-00637,2024-06-21,North America,New York,Technology,Wireless Router,7,8939.59,1438.38
ORD-2024-00327,2024-06-21,Middle East & Africa,Dubai,Office Supplies,Pen Set,8,282.91,56.44
ORD-2025-00719,2024-06-21,Europe,Ile-de-France,Technology,Laptop,6,5906.6,-1358.83
ORD-2024-00510,2024-06-22,North America,California,Furniture,Desk,4,994.23,95.99
ORD-2024-00566,2024-06-22,North America,Florida,Technology,Laptop,10,9346.53,1763.24
ORD-2024-00189,2024-06-23,North America,New York,Technology,Smartphone,3,2854.39,470.24
ORD-2025-00854,2024-06-23,Latin America,Mexico City,Office Supplies,Notebook,9,933.55,266.73
ORD-2025-01047,2024-06-24,North America,California,Office Supplies,Pen Set,4,384.23,76.15
ORD-2024-00097,2024-06-24,Europe,Bavaria,Technology,Tablet,7,6183.97,1111.2
